BeerID,Name,URL,Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,PrimingMethod,PrimingAmount,UserId
1480,Linns Brown Ale,/homebrew/recipe/view/5285/linns-brown-ale,Northern English Brown,113,25,1.051,1.013,4.98,26.2,17.44,32,90,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,1046
1481,Fat Tire Amber Ale 10,/homebrew/recipe/view/43330/fat-tire-amber-ale-10,Belgian Dubbel,22,39.75,1.053,1.01,5.52,35.46,12.27,47.32,60,1.044,70,N/A,Specific Gravity,BIAB,N/A,N/A,N/A,N/A,5889
1482,Koelsch - Seidel 50 liter (med stor humletil...,/homebrew/recipe/view/84122/,Koelsch,94,50,1.049,1.015,4.51,30.05,4.12,57.5,90,1.043,70,5.2,Specific Gravity,All Grain,1.25,15,CO2,N/A,19724
1483,Brooklyn lager,/homebrew/recipe/view/94146/brooklyn-lager,Vienna Lager,167,18.93,1.053,1.015,5.04,27.35,8.23,28.39,75,1.036,74,3,Specific Gravity,All Grain,N/A,11.11,N/A,N/A,21846
1484,Citra Double IPA,/homebrew/recipe/view/72456/citra-double-ipa,Imperial IPA,86,20.82,1.078,1.014,8.41,87.62,6.96,26.5,60,1.062,70,1.5,Specific Gravity,All Grain,1,20,N/A,N/A,17868
1485,New Belgium Brewing Ranger Clone,/homebrew/recipe/view/293000/new-belgium-brewing-ranger-clone,American IPA,7,18.93,1.053,1.014,5.14,74.32,6.19,20.82,60,1.048,35,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
1486,Pacifico clone,/homebrew/recipe/view/328256/pacifico-clone,American Light Lager,9,20.82,1.048,1.012,4.74,13.95,2.92,28.39,60,1.035,80,1.38,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,29739
1487,Naked Cat oatmeal stout,/homebrew/recipe/view/26755/naked-cat-oatmeal-stout,Oatmeal Stout,114,20.82,1.051,1.015,4.83,36.64,40,28.39,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,6248
1488,Timothy Taylor's Landlord Clone,/homebrew/recipe/view/225974/timothy-taylor-s-landlord-clone,Standard/Ordinary Bitter,157,18.93,1.041,1.013,3.7,38.89,7.32,9.46,60,1.082,35,N/A,Specific Gravity,extract,N/A,25.56,N/A,N/A,
1489,West coast pale ale,/homebrew/recipe/view/184265/west-coast-pale-ale,American Pale Ale,10,19.87,1.047,1.008,5.12,50.9,7.7,26.5,60,1.036,78,N/A,Specific Gravity,BIAB,N/A,20,N/A,N/A,34855
1490,Scottish/Scotch Strong Ale,/homebrew/recipe/view/38463/scottish-scotch-strong-ale,Strong Scotch Ale,160,18.93,1.102,1.029,9.47,44.39,16.42,32.18,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,18.33,N/A,N/A,
1491,Bewitched Red Amber Ale,/homebrew/recipe/view/189032/bewitched-red-amber-ale,Irish Red Ale,92,9.46,1.04,1.012,3.7,0,7,5.68,20,N/A,75,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
1492,Summer Ale,/homebrew/recipe/view/11020/summer-ale,Special/Best/Premium Bitter,144,48.07,1.043,1.01,4.3,30.37,6.79,51.1,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
1493,Belgian Blond Ale,/homebrew/recipe/view/37996/belgian-blond-ale,Belgian Blond Ale,20,30.28,1.064,1.016,6.27,28.84,4.53,37.85,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,20,N/A,N/A,8363
1494,YOUNGS SPECIAL BITTER 1318,/homebrew/recipe/view/10884/youngs-special-bitter-1318,Special/Best/Premium Bitter,144,20,1.045,1.012,4.31,35.1,6.65,23,90,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,1752
1495,ISA,/homebrew/recipe/view/3354/isa,Strong Scotch Ale,160,18.93,1.087,1.024,8.18,36.07,22.3,15.14,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,DME - Light,129.50 grams,
1496,Citra White IPA  2/13/16,/homebrew/recipe/view/325702/citra-white-ipa-2-13-16,Specialty IPA: White IPA,152,19.87,1.07,1.015,7.2,60.27,4.58,27.44,60,1.051,75,1.5,Specific Gravity,All Grain,N/A,20,N/A,N/A,46634
1497,Kentimheimer Steam Pilsner,/homebrew/recipe/view/12920/kentimheimer-steam-pilsner,Classic American Pilsner,40,20.82,1.063,1.018,5.98,44.38,5.71,26.5,60,1.05,80,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
1498,Dogfish Head Indian Brown Ale clone - #2,/homebrew/recipe/view/23421/dogfish-head-indian-brown-ale-clone-2,American Brown Ale,6,3,1.069,1.02,6.34,46.33,23.8,3.8,30,N/A,25,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,5390
1499,Pale Ale Speidel 50 L,/homebrew/recipe/view/114879/pale-ale-speidel-50-l,American Pale Ale,10,50,1.059,1.016,5.56,27.6,7.94,55,60,1.054,80,3,Specific Gravity,All Grain,N/A,18,N/A,N/A,25141
1500,Rye Farmhouse Saison,/homebrew/recipe/view/3644/rye-farmhouse-saison,Saison,134,20.82,1.064,1.013,6.71,32.34,7.12,32.18,90,N/A,70,N/A,Specific Gravity,BIAB,N/A,N/A,table sugar,4.0 oz,898
1501,The Dude Abides White Russian Imperial Stout...,/homebrew/recipe/view/205840/the-dude-abides-white-russian-imperial-stout,Russian Imperial Stout,132,3.79,1.114,1.029,11.25,85.4,40,5.68,60,1.076,65,1.5,Specific Gravity,All Grain,0.35,18.33,N/A,N/A,
1502,Ben Loves Cider,/homebrew/recipe/view/21698/ben-loves-cider,French Cider,73,7.57,1.063,1.006,7.46,0,2.7,7.57,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,Corn Sugar,2oz,3464
1503,Innis & Gunn clone,/homebrew/recipe/view/309463/innis-gunn-clone,Scottish Export 80/-,137,25,1.063,1.018,5.8,23.94,9.58,35,60,1.045,75,N/A,Specific Gravity,BIAB,N/A,N/A,N/A,N/A,41104
1504,Reverend Craig Bourbon Barleywine,/homebrew/recipe/view/28695/-reverend-craig-bourbon-barleywine,American Barleywine,5,20.82,1.115,1.02,12.57,145.39,17.51,28.39,120,N/A,60.8,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
1505,Russian Imperial Stout for Barrel 2,/homebrew/recipe/view/27010/russian-imperial-stout-for-barrel-2,Russian Imperial Stout,132,28.39,1.089,1.022,8.74,105.17,40,28.39,60,1.083,68,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,1569
1506,Bourbon Vanilla Porter,/homebrew/recipe/view/10750/bourbon-vanilla-porter,Robust Porter,129,20.82,1.087,1.022,8.56,47.43,37.47,26.5,75,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
1507,Miabock,/homebrew/recipe/view/205860/miabock,Maibock/Helles Bock,103,22.71,1.07,1.014,7.33,30.6,9.1,26.5,60,1.059,70,1.5,Specific Gravity,All Grain,1.75,18.33,N/A,N/A,41468
1508,Lagunitas IPA II 10gal,/homebrew/recipe/view/17273/lagunitas-ipa-ii-10gal,American IPA,7,41.64,1.071,1.019,6.92,70.47,9.41,49.21,90,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,force carbonate,N/A,399
1509,Kill Whitey,/homebrew/recipe/view/1580/kill-whitey,Witbier,175,18.93,1.049,1.013,4.73,23.08,3.57,26.5,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,Dextrose,3/4 cup,
1510,Cream your pants,/homebrew/recipe/view/291744/cream-your-pants,Cream Ale,45,18.93,1.046,1.012,4.45,10.62,2.44,28.39,60,1.03,80,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,53569
1511,TBM Iron Maiden Wheat,/homebrew/recipe/view/18111/tbm-iron-maiden-wheat,American Pale Ale,10,83.28,1.052,1.01,5.46,42.54,8.54,94.64,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,1345
1512,Sugar Maple Winter Harvest Ale (with Buttern...,/homebrew/recipe/view/189061/sugar-maple-winter-harvest-ale-with-butternut-squash-,Spice  Herb  or Vegetable Beer,155,18.93,1.069,1.016,7,0,22.9,25.7,60,N/A,72,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
1513,Front Porch Citra IPA,/homebrew/recipe/view/6594/front-porch-citra-ipa,American IPA,7,20.82,1.06,1.016,5.87,52.33,10.74,26.5,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
1514,DB IPA (Double),/homebrew/recipe/view/11730/db-ipa-double-,American IPA,7,47.32,1.079,1.012,8.8,94.68,4.6,54.89,90,1.068,84,N/A,Specific Gravity,All Grain,1.25,17.78,N/A,N/A,2111
1515,Boston lager,/homebrew/recipe/view/56847/boston-lager,Vienna Lager,167,20.82,1.052,1.013,5.1,23.09,11.3,28.39,60,N/A,78,N/A,Specific Gravity,All Grain,N/A,9.44,N/A,N/A,15452
1516,#0010 Black IPA,/homebrew/recipe/view/242762/-0010-black-ipa,Specialty IPA: Black IPA,148,20,15.302,3.40304,6.44,92.38,34.29,26.8,60,11.6,80,3.5,Plato,All Grain,1,19,N/A,N/A,35279
1517,Maine Lunch Clone,/homebrew/recipe/view/235742/maine-lunch-clone,American IPA,7,20.82,1.059,1.013,6.04,99.92,7.25,25.55,60,1.048,60,1.2,Specific Gravity,All Grain,0.5,20,N/A,N/A,
1518,ESB Fullers Clone,/homebrew/recipe/view/207132/esb-fullers-clone,Extra Special/Strong Bitter (ESB),68,42,1.047,1.011,4.72,41.93,8.86,52,70,1.038,65,2.5,Specific Gravity,All Grain,N/A,21,N/A,N/A,40623
1519,Dragons Milk Clone,/homebrew/recipe/view/207216/dragons-milk-clone,Wood-Aged Beer,176,20.82,1.103,1.027,10.04,31.76,40,28.39,90,1.076,75,1.2,Specific Gravity,All Grain,1.25,17.78,N/A,N/A,
1520,Imperial Shit Ale,/homebrew/recipe/view/21249/imperial-shit-ale,Experimental Beer,67,18.93,1.104,1.022,10.84,71.22,48.49,23.66,60,1.083,70,N/A,Specific Gravity,All Grain,0.75,N/A,N/A,N/A,
1521,Blond Affligem Clone,/homebrew/recipe/view/328754/blond-affligem-clone,Belgian Blond Ale,20,23,1.061,1.014,6.12,23.32,4.72,27,90,1.052,70,3,Specific Gravity,All Grain,0.5,18,Dextrose for 24L,138,46016
1522,Stardard American Lager II,/homebrew/recipe/view/216382/stardard-american-lager-ii,American Lager,8,21.77,1.047,1.011,4.81,15.66,2.68,28.39,90,1.036,83,1.5,Specific Gravity,All Grain,2,7.78,N/A,N/A,42228
1523,R.I.P. Ale,/homebrew/recipe/view/13129/r-i-p-ale,American IPA,7,20.82,1.068,1.019,6.42,46.58,8.42,26.5,60,1.053,70,1.25,Specific Gravity,All Grain,0.35,18.33,N/A,N/A,
1524,Millennium falcon,/homebrew/recipe/view/28992/millennium-falcon,American IPA,7,21.58,1.064,1.012,6.88,81.6,9.06,28.39,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,805
1525,Belgian Dubbel (BIAB),/homebrew/recipe/view/309708/belgian-dubbel-biab-,Belgian Dubbel,22,26.5,1.058,1.012,5.93,19.55,15.38,30.5,80,1.05,76,N/A,Specific Gravity,BIAB,1,18,Bottle,N/A,
1526,Jolly rancher watermellon,/homebrew/recipe/view/142683/jolly-rancher-watermellon,Fruit Beer,75,37.85,1.109,1.033,10.02,25.87,7.65,41.64,90,1.1,35,1.5,Specific Gravity,All Grain,1.25,N/A,N/A,N/A,18747
1527,Dark Amber,/homebrew/recipe/view/294844/dark-amber,American Amber Ale,4,18.93,1.064,1.012,6.8,82.95,13.5,9.46,60,1.128,70,N/A,Specific Gravity,Partial Mash,N/A,N/A,N/A,N/A,
1528,SNPA Clone,/homebrew/recipe/view/29977/snpa-clone,American Pale Ale,10,18.93,1.051,1.014,4.82,37.35,10.62,24.61,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,8363
1529,Double Sunshine Clone,/homebrew/recipe/view/265601/double-sunshine-clone,Double IPA,56,18.93,1.076,1.015,8.04,146.24,8.38,24.61,60,1.058,66,1.3,Specific Gravity,All Grain,1,20,N/A,N/A,50283
1530,Happiness Factor Holiday Ale,/homebrew/recipe/view/6274/happiness-factor-holiday-ale,Belgian Dark Strong Ale,21,20.82,1.102,1.025,11.34,22.35,16.56,11.36,60,N/A,70,N/A,Specific Gravity,extract,1,21.11,N/A,2.2 vol,378
1531,Strawberry-Rhubarb Hefeweizen,/homebrew/recipe/view/191176/strawberry-rhubarb-hefeweizen,N/A,111,18.93,1.074,1.004,3.5,0,6.4,11.95,60,N/A,75,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
1532,Redneck Rye Wine,/homebrew/recipe/view/57401/redneck-rye-wine,American Barleywine,5,18.93,1.134,1.029,13.89,45.15,14.51,28.39,60,1.09,73,1.25,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,2568
1533,American Saison,/homebrew/recipe/view/19371/american-saison,Specialty Beer,145,45.42,1.059,1.007,6.8,26.2,3.48,53,75,1.05,85,N/A,Specific Gravity,All Grain,1.25,21.11,N/A,N/A,2111
1534,Chocolate Orange Hefeweizen,/homebrew/recipe/view/189812/chocolate-orange-hefeweizen,Weizen/Weissbier,170,18.93,1.053,1.01,5.62,0,9,11.36,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
1535,Sunny Sol clone,/homebrew/recipe/view/96647/sunny-sol-clone,Light American Lager,100,20.82,1.039,1.01,3.79,9.27,3.5,11.36,60,1.072,35,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,21525
1536,Jasmine Green Tea Saisonette,/homebrew/recipe/view/189063/jasmine-green-tea-saisonette,Saison,134,18.93,1.054,1.013,5.27,0,4.12,22.71,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
1537,Mogs cottage cider,/homebrew/recipe/view/7657/mogs-cottage-cider,Common Cider,44,21,1.057,1.009,6.41,0,11.59,26.5,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,1484
1538,Belgian Quad with Cherries and Raspberries...,/homebrew/recipe/view/190860/belgian-quad-with-cherries-and-raspberries,Belgian Specialty Ale,25,22.71,1.108,1.015,12.18,0,30.28,28.39,90,N/A,60,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
1539,Horchata,/homebrew/recipe/view/223674/horchata,Cream Ale,45,18.93,1.054,1.015,5.07,24.16,4.86,18.55,60,1.055,35,N/A,Specific Gravity,Partial Mash,N/A,N/A,N/A,N/A,
1540,ALLAGASH WHITE CLONE,/homebrew/recipe/view/322522/allagash-white-clone,Witbier,175,22.71,1.052,1.013,5.02,19.35,3.99,13.25,60,1.089,35,N/A,Specific Gravity,Partial Mash,0.75,21.11,Cane sugar,5 oz.,23417
1541,21st Amendment's Brew Free! Or Die IPA Clone...,/homebrew/recipe/view/254464/21st-amendment-s-brew-free-or-die-ipa-clone,American IPA,7,19.87,1.072,1.022,6.58,69,6.12,29.34,90,1.049,70,1.5,Specific Gravity,All Grain,0.5,20,DME,Calculate,
1542,1# 2017,/homebrew/recipe/view/74514/1-2017,American IPA,7,52,1.044,1.008,4.66,65.97,11.37,54,60,1.042,75,N/A,Specific Gravity,All Grain,0.5,20,N/A,N/A,
1543,Black Cherry IPA,/homebrew/recipe/view/165872/black-cherry-ipa,Specialty IPA: Black IPA,148,18.93,1.055,1.016,5.12,112.38,46.65,28.39,60,1.037,56,1.75,Specific Gravity,All Grain,0.35,22.22,N/A,N/A,31273
1544,Sterk,/homebrew/recipe/view/337456/sterk,English Barleywine,63,21,1.095,1.017,10.2,61.34,12.21,28.5,60,1.07,70,N/A,Specific Gravity,BIAB,N/A,22,N/A,N/A,
1545,Curieux Clone,/homebrew/recipe/view/139882/curieux-clone,Belgian Tripel,26,21.77,1.088,1.013,9.92,46.87,5.49,28.39,90,1.068,65,1.2,Specific Gravity,All Grain,1,20,N/A,N/A,1569
1546,Dark Strong Vanilla Cinnamon Porter,/homebrew/recipe/view/142247/dark-strong-vanilla-cinnamon-porter,Robust Porter,129,20.82,1.104,1.026,10.24,89.14,43.44,28.39,90,1.076,80,1.5,Specific Gravity,All Grain,1.25,21.11,N/A,N/A,
1547,Hef-Wit,/homebrew/recipe/view/8970/hef-wit,Saison,134,20.82,1.055,1.008,6.13,23.23,6.98,9.46,60,N/A,75,N/A,Specific Gravity,extract,N/A,N/A,corn sugar,5 oz,977
1548,Almond Joy Stout,/homebrew/recipe/view/181807/almond-joy-stout,American Stout,12,41.64,1.004,1.001,0.38,0,1.4,43.53,60,1.004,70,1.3,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,348
1549,Chocolate peanut butter Porter,/homebrew/recipe/view/296109/chocolate-peanut-butter-porter,American Porter,11,37.85,1.079,1.026,6.94,11.07,35.98,45.42,60,1.066,83,1.5,Specific Gravity,All Grain,1.25,20,N/A,N/A,
1550,Guinness Stout Clone,/homebrew/recipe/view/225480/guinness-stout-clone,Dry Stout,58,45.42,1.05,1.013,4.87,48.09,34.22,52.62,60,1.043,95,1.5,Specific Gravity,All Grain,1.25,18.89,N/A,N/A,20984
1551,Kona Fire Rock Pale Ale Clone,/homebrew/recipe/view/306692/kona-fire-rock-pale-ale-clone,American Pale Ale,10,23,1.054,1.011,5.67,39.8,7.45,26,75,1.048,72,N/A,Specific Gravity,BIAB,N/A,19,N/A,N/A,
1552,Leffe Blonde Clone,/homebrew/recipe/view/417352/leffe-blonde-clone,Belgian Blond Ale,20,20.82,1.066,1.013,6.88,21.38,6.58,24.61,60,1.056,75,1.5,Specific Gravity,All Grain,1,20,N/A,N/A,
1553,Bayer,/homebrew/recipe/view/217995/bayer,Munich Dunkel,108,21,1.053,1.016,4.84,22.1,12.82,23,90,1.049,79,3,Specific Gravity,All Grain,N/A,10,N/A,N/A,
1554,The Chouffe - Strong Belgian Ale,/homebrew/recipe/view/185754/the-chouffe-strong-belgian-ale,Belgian Golden Strong Ale,23,21,1.086,1.016,9.19,29.26,5.96,28,90,1.065,75,4.464,Specific Gravity,All Grain,N/A,20,N/A,N/A,5560
1555,' #1 American Honey orange Ale,/homebrew/recipe/view/212223/-1-american-honey-orange-ale,Blonde Ale,30,18.93,1.051,1.01,5.43,2.83,4.28,13.25,45,1.073,35,N/A,Specific Gravity,extract,0.5,18.33,corn sugar,N/A,
1556,Amarillo Centennial APA,/homebrew/recipe/view/85944/amarillo-centennial-apa,American Pale Ale,10,23,1.05,1.01,5.33,40.29,7.1,28.5,60,1.04,69,3,Specific Gravity,All Grain,0.75,19,N/A,N/A,14597
1557,Russian River Pliny the Elder Clone,/homebrew/recipe/view/119236/russian-river-pliny-the-elder-clone,Imperial IPA,86,22.71,1.075,1.017,8.15,298.79,6.76,35.17,90,1.042,72,1.25,Specific Gravity,All Grain,1,19.44,N/A,N/A,
1558,Bikini Blonde,/homebrew/recipe/view/108792/bikini-blonde,Classic American Pilsner,40,18.93,1.055,1.01,5.94,30.57,4.86,22.71,60,1.046,60,N/A,Specific Gravity,BIAB,0.5,18.89,N/A,N/A,24391
1559,Top Knot,/homebrew/recipe/view/3814/top-knot,Blonde Ale,30,20.82,1.047,1.013,4.47,19.06,3.59,13.25,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,Priming Sugar,5 oz.,
1560,Minnehaha Blonde Ale,/homebrew/recipe/view/49551/minnehaha-blonde-ale,Blonde Ale,30,23.09,1.048,1.012,4.66,14.77,5.34,26.5,60,1.042,70,N/A,Specific Gravity,All Grain,0.35,21.11,N/A,N/A,
1561,Cocoa Coffee Brown Ale (CCB),/homebrew/recipe/view/174759/cocoa-coffee-brown-ale-ccb-,Mild,105,3.79,1.047,1.013,4.42,17.37,21.38,3.41,60,1.052,35,N/A,Specific Gravity,extract,N/A,21.11,Brown Sugar,N/A,
1562,Mexican Calif Cerveza Lager - Pacifico,/homebrew/recipe/view/340016/mexican-calif-cerveza-lager-pacifico,Light American Lager,100,18.93,1.05,1.013,4.85,27.93,2.93,22.71,60,1.042,70,N/A,Specific Gravity,Partial Mash,0.35,10,N/A,N/A,
1563,Clementine Wheat,/homebrew/recipe/view/13677/clementine-wheat,American Wheat or Rye Beer,15,18.93,1.057,1.014,5.65,48.53,4.34,22.71,60,N/A,75,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
1564,Duvel Clone,/homebrew/recipe/view/298578/duvel-clone,Belgian Blond Ale,20,22.7,1.07,1.021,6.5,35.09,3.12,31.84,90,1.05,75,2.7,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
1565,Irish Red Ale,/homebrew/recipe/view/31335/irish-red-ale,Irish Red Ale,92,20.82,1.064,1.017,6.16,25.95,17.05,15.9,60,N/A,72,N/A,Specific Gravity,extract,N/A,19.44,CO2,2.3 volumes,1530
1566,PK Berliner,/homebrew/recipe/view/4914/pk-berliner,Berliner Weisse,27,20.82,1.031,1.008,3.02,3.56,2.37,24.61,90,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
1567,Scotch Ale,/homebrew/recipe/view/3050/scotch-ale,Strong Scotch Ale,160,20.82,1.073,1.017,7.42,45.78,19.11,11.36,80,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
1568,Red Oktober,/homebrew/recipe/view/1097/red-oktober,Irish Red Ale,92,20.82,1.042,1.011,4.12,22.86,12.58,11.36,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,316
1569,Citra Pale Ale,/homebrew/recipe/view/49030/citra-pale-ale,American Pale Ale,10,20.82,1.064,1.018,6.02,42.68,12,25.55,60,1.052,60,N/A,Specific Gravity,All Grain,0.75,17.22,N/A,N/A,
1570,DAGSI Apple-Ginger Cider,/homebrew/recipe/view/137178/-dagsi-apple-ginger-cider,Common Cider,44,20.82,1.057,1.014,5.64,0,7.69,24.61,0,1.007,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,14507
1571,Simcoe IPA,/homebrew/recipe/view/76265/simcoe-ipa,English IPA,65,20.82,1.064,1.017,6.15,58.94,11.79,28.39,60,1.047,75,N/A,Specific Gravity,All Grain,1,21.11,N/A,N/A,5889
1572,Aventinus Weizenbock,/homebrew/recipe/view/191227/aventinus-weizenbock,Weizenbock,171,18.93,1.081,1.018,8.2,0,13.52,21.77,90,N/A,75,N/A,Specific Gravity,Partial Mash,N/A,N/A,N/A,N/A,
1573,Imperial IPA,/homebrew/recipe/view/181301/imperial-ipa,Imperial IPA,86,25,1.082,1.012,9.17,64.8,10.46,31,60,1.066,70,2.5,Specific Gravity,All Grain,1,20,N/A,N/A,14759
1574,Dale's Pale Ale rip,/homebrew/recipe/view/11007/dale-s-pale-ale-rip,American IPA,7,18.93,1.067,1.019,6.34,66.13,11.96,11.36,60,N/A,70,N/A,Specific Gravity,Partial Mash,N/A,N/A,N/A,N/A,
1575,Fat Angel,/homebrew/recipe/view/9052/fat-angel,American Amber Ale,4,18.93,1.051,1.014,4.84,23.65,12.1,24.61,60,N/A,70,N/A,Specific Gravity,BIAB,N/A,N/A,N/A,N/A,1426
1576,#1 - Pale,/homebrew/recipe/view/2148/-1-pale,American Pale Ale,10,18,1.047,1.013,4.45,1.28,7.11,4,30,N/A,75,N/A,Specific Gravity,extract,N/A,N/A,Dextrose Solution,180g / 120ml,579
1577,Fruit Beer - Blueberry/Watermelon Blonde + I...,/homebrew/recipe/view/139156/fruit-beer-blueberry-watermelon-blonde-ipa,Blonde Ale,30,53,1.053,1.012,5.45,23.08,4.94,56.78,60,1.05,80,1.25,Specific Gravity,All Grain,1,20,N/A,N/A,16332
1578,Duncan Dunkelweizen,/homebrew/recipe/view/62310/duncan-dunkelweizen,Dunkelweizen,59,18.93,1.05,1.013,4.89,18.47,21.36,26.5,60,1.036,65,1.25,Specific Gravity,All Grain,0.75,18.33,N/A,N/A,15496
1579,Rye U No?,/homebrew/recipe/view/2610/rye-u-no-,Roggenbier (German Rye Beer),131,20.82,1.056,1.015,5.31,27.6,18.27,11.36,60,N/A,70,N/A,Specific Gravity,Partial Mash,N/A,N/A,N/A,N/A,
1580,'Merican IPA,/homebrew/recipe/view/270258/-merican-ipa,American IPA,7,30,1.061,1.01,6.67,66.4,10.46,38,90,1.048,58,N/A,Specific Gravity,All Grain,0.5,17,N/A,N/A,
1581,2014 Munich Dunkel,/homebrew/recipe/view/34822/2014-munich-dunkel,Dark American Lager,52,28.39,1.046,1.013,4.39,18.01,19.7,32.18,90,1.041,75,1.5,Specific Gravity,All Grain,1.5,12.78,N/A,N/A,9509
1582,Elf Hunter Barleywine,/homebrew/recipe/view/54282/elf-hunter-barleywine,English Barleywine,63,20.82,1.095,1.022,9.56,58.69,17.39,29.9,120,1.066,65,1.25,Specific Gravity,All Grain,0.5,20,N/A,N/A,
1583,The Brew Formerly Known as St. Patrick's Gal...,/homebrew/recipe/view/146458/the-brew-formerly-known-as-st-patrick-s-galaxy-iipa,Imperial IPA,86,19.31,1.062,1.009,6.95,108.66,11.26,34.07,90,1.018,37,1.25,Specific Gravity,All Grain,1.25,18.33,Force Carbonation,10 PSI @ 38 F,29934
1584,Autumn's Bounty Maple Nut Brown Ale,/homebrew/recipe/view/19910/autumn-s-bounty-maple-nut-brown-ale,American Brown Ale,6,20.82,1.059,1.017,5.57,29.71,24.64,32.18,90,N/A,71,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,1809
1585,Dortmunder Export,/homebrew/recipe/view/179229/dortmunder-export,Dortmunder Export,55,1760.22,14.1418,4.09873,5.43,22.38,3.12,2053.59,60,12.2,80,1.25,Plato,All Grain,1.5,11.11,N/A,N/A,
1586,Lord Vader Imperial Stout,/homebrew/recipe/view/275993/lord-vader-imperial-stout,Imperial Stout,87,18.93,1.096,1.02,10.06,71.69,50,24.61,90,1.074,70,1.2,Specific Gravity,All Grain,1.25,N/A,N/A,N/A,47553
1587,Golden Strong Ale,/homebrew/recipe/view/424264/golden-strong-ale,Belgian Golden Strong Ale,23,13.25,1.071,1.012,7.81,29.81,4.45,19.87,60,1.048,70,N/A,Specific Gravity,BIAB,0.35,21.11,N/A,N/A,
1588,Ayinger Maibock Clone,/homebrew/recipe/view/220319/ayinger-maibock-clone,Maibock/Helles Bock,103,18.93,1.071,1.021,6.55,28.97,5.78,13.25,60,1.102,35,N/A,Specific Gravity,extract,1.75,12.78,N/A,N/A,40573
1589,Centennial / Citra  IPA,/homebrew/recipe/view/216992/centennial-citra-ipa,American IPA,7,18.93,1.065,1.012,6.86,66.85,8.2,28.39,60,1.043,70,N/A,Specific Gravity,BIAB,N/A,N/A,N/A,N/A,
1590,Brasino Dubbel,/homebrew/recipe/view/22733/brasino-dubbel,Belgian Dubbel,22,21,1.065,1.012,7,20.72,24.5,28,90,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
1591,Camp wit beer,/homebrew/recipe/view/5931/camp-wit-beer,Witbier,175,3.79,1.034,1.009,3.25,15.11,3.31,5.68,45,N/A,60,N/A,Specific Gravity,BIAB,N/A,N/A,N/A,N/A,
1592,BATCH 6  - porter,/homebrew/recipe/view/5715/batch-6-porter,Brown Porter,37,48.1,1.051,1.012,5.17,28.54,34.92,51.9,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,All bottled 3.7 oz corn sugar to 6 us gal, 2.1 vol. CO2(typ. of style),
